,std,ci_lower,ci_upper
# Columns: time_min,0.0,0.0,0.0
# Columns: time_max,0.0,0.0,0.0
# Columns: time_mean,11.655310932885886,0.0,19.74385321428732
# Columns: time_median,15.048231635721148,0.0,25.49138999904038
# Columns: time_std,3.460824273197237,1.4551915228366852e-11,5.8625640142858195
# Columns: time_q1,22.57234745358173,0.0,38.23708499856057
# Columns: time_q3,7.524115817860574,0.0,12.74569499952019
avg_rss12_min,8.794294864591924,7.522588190425088,10.004368859463083
avg_rss12_max,4.429181529313045,3.264352104451736,5.3699037328909665
avg_rss12_mean,4.917716534053915,4.286883282768601,5.429937422019706
avg_rss12_median,4.956110901988048,4.282107810370398,5.432406610145174
avg_rss12_std,1.7586291583940317,1.5367342870901413,1.9261737939424182
avg_rss12_q1,5.731262069418449,5.126762227407691,6.155652937100673
avg_rss12_q3,4.783645133194638,3.8849690867130646,5.534776828939865
var_rss12_min,0.0,0.0,0.0
var_rss12_max,5.147841414381515,4.630112464975698,5.480588102713969
var_rss12_mean,1.6006605313356368,1.3789476669757117,1.716396811010929
var_rss12_median,1.4369026168932892,1.2441728926002207,1.564949624751516
var_rss12_std,0.9027694356426303,0.812018440730579,0.9622955446571727
var_rss12_q1,0.9522006385488597,0.8125184923322271,1.0423888235334393
var_rss12_q3,2.1582583901283114,1.8930407288275626,2.3021661663051
avg_rss13_min,3.0538690677622298,2.8006138551062345,3.200378745633961
avg_rss13_max,4.75985339562324,3.9589177764412478,5.349025552711828
avg_rss13_mean,3.8633039990837648,3.155165388863092,4.326335323162056
avg_rss13_median,3.8457303787715422,3.13542003373557,4.3773976154664345
avg_rss13_std,0.9960083627305979,0.7826229125606708,1.1996580116613396
avg_rss13_q1,4.145254638911757,3.426284104692138,4.640119951616189
avg_rss13_q3,3.946023349112259,3.2044466834202696,4.503303901436096
var_rss13_min,0.0,0.0,0.0
var_rss13_max,2.302407928167744,2.0604982959094507,2.483083780694106
var_rss13_mean,1.1797807324795455,1.0646143356309168,1.2318635985443238
var_rss13_median,1.1495848290572714,1.0370242535591239,1.1945561251631538
var_rss13_std,0.47352485789227805,0.425881764643554,0.5006098361518966
var_rss13_q1,0.8427711942824049,0.7596405154140546,0.8841020720864896
var_rss13_q3,1.566564389029198,1.4179998549152786,1.6325877548562266
avg_rss23_min,5.368785902146416,3.4831260446635173,6.852651127283275
avg_rss23_max,5.449726152031845,4.298152701955889,6.401986172103261
avg_rss23_mean,5.120513152152144,3.665344987835542,6.219493654532266
avg_rss23_median,5.267413925939196,3.7209701984338066,6.432019435757737
avg_rss23_std,1.0579727228102458,0.7783966629023068,1.2674099624574044
avg_rss23_q1,5.543882021824564,4.10427739493356,6.750968141651672
avg_rss23_q3,4.957230538795812,3.55642489259033,5.938997309701735
var_rss23_min,0.05176591682688075,0.0,0.08769038159669892
var_rss23_max,2.540166008430085,2.197325543038229,2.810365212698879
var_rss23_mean,1.1713060949890581,1.056647808403847,1.227485950986987
var_rss23_median,1.1046257413980765,0.9897418203544399,1.1597535424474914
var_rss23_std,0.5193765880452919,0.4734824653437649,0.5443927878078592
var_rss23_q1,0.7742332131950438,0.6883646221907691,0.8190298872973876
var_rss23_q3,1.5502177249250448,1.4050435118432634,1.620171075072309
